場所名稱,場所區域,場所地址,場所類型,AED放置地點,開放時間緊急連絡電話
牛鬥痛苦聖母天主堂,三星鄉,泰雅一路589巷牛頭38號,其他場所,大門右側,03-99891738
宜蘭三星迷路憶境民宿,三星鄉,大埔中路265巷17弄2號,其他場所,門口,0913-916061
宜蘭教養院,三星鄉,五分路二段60號,其他場所,保健室,03-9575254
宜蘭縣三星國小,三星鄉,三星路5段86號,國小,健康中心,03-9892026
宜蘭縣三星國中,三星鄉,星義路72號,國中,健康中心,03-9892012
宜蘭縣三星鄉公所,三星鄉,集慶村集義路168號,其他場所,宜蘭縣三星鄉公所右側,03-9892018
宜蘭縣三星鄉萬富國民小學,三星鄉,萬富村健富路一段309號,國小,健康中心入口處左手邊,0916-192780
宜蘭縣三星鄉衛生所,三星鄉,三星路五段70號,其他場所,一樓候診大廳,03-9892227
宜蘭縣三星鄉憲明國民小學,三星鄉,福山街119號,國小,健康中心,03-9892049
宜蘭縣大洲國民小學,三星鄉,上將路2段500號,國小,健康中心門口,03-9551547
宜蘭縣大隱國小,三星鄉,大隱村大隱中路347號,國小,健康中心右側,03-9890155
宜蘭縣私立懷哲復康之家,三星鄉,大隱村大隱五路295號,其他場所,1樓辦公室,03-9897135
法務部矯正署宜蘭監獄,三星鄉,三星路三段365巷安農新村1號,監獄,衛生科,03-9893092
法務部矯正署宜蘭監獄,三星鄉,三星路三段365巷安農新村1號,監獄,本監行政大樓,03-9893092
法務部矯正署宜蘭監獄,三星鄉,三星路三段365巷安農新村1號,監獄,本監中央台,03-9893092
耕莘健康管理專科學校,三星鄉,尚武村健富路2段407號,大專院校,健康中心旁,03-9891178#7319
耕莘健康管理專科學校,三星鄉,尚武村健富路2段407號,大專院校,校門口警衛室側門,03-9891178#7319
耕莘健康管理專科學校,三星鄉,尚武村健富路2段407號,大專院校,第一宿舍一樓餐廳門口外,03-9891178#7319
耕莘健康管理專科學校,三星鄉,尚武村健富路2段407號,大專院校,第二教學大樓一樓飲水機旁,03-9891178#7319
耕莘健康管理專科學校,三星鄉,尚武村健富路2段407號,大專院校,行政樓一樓,03-9891178#7532
財團法人宜蘭縣私立聖嘉民老人長照中心,三星鄉,三星路二段103號,其他場所,2樓護理站前樓梯口,03-9898806
聖母醫護管理專科學校,三星鄉,三星路二段265巷100號,大專院校,聖嘉民大樓,03-9897396#732
聖母醫護管理專科學校,三星鄉,三星路二段265巷100號,大專院校,惠民大樓,03-9897396#732
聖母醫護管理專科學校,三星鄉,三星路二段265巷100號,大專院校,圖資大樓,03-9897396#732
聖母醫護管理專科學校,三星鄉,三星路二段265巷100號,大專院校,崇德大樓一樓川堂,03-9897396#732
聖母醫護管理專科學校,三星鄉,三星路二段265巷100號,大專院校,呂道南大樓(第二宿舍),03-9897396#732
聖母醫護管理專科學校,三星鄉,三星路二段265巷100號,大專院校,德信大樓,03-9897396#732
大同鄉南山國小,大同鄉,南山村埤南巷31-3號,國小,辦公室,03-9809113#15
太平山國家森林遊樂區太平山莊,大同鄉,太平巷58之1號,森林遊樂區,太平山莊服務站,03-9809806#9
